|            Size             |           tLAvgI            |           tLAvgT            |           tBAvgI            |           tBAvgT            |
|            50000            |           25000,5           |          0,0110 ms          |            14,7             |          0,0140 us          |
|           100000            |           50000,5           |          0,0219 ms          |            15,7             |          0,0130 us          |
|           150000            |           75000,5           |          0,0379 ms          |            16,3             |          0,0190 us          |
|           200000            |          100000,5           |          0,0448 ms          |            16,7             |          0,0150 us          |
|           250000            |          125000,5           |          0,0567 ms          |            17,0             |          0,0190 us          |
|           300000            |          150000,5           |          0,0657 ms          |            17,3             |          0,0190 us          |
|           350000            |          175000,5           |          0,0957 ms          |            17,5             |          0,0180 us          |
|           400000            |          200000,5           |          0,1352 ms          |            17,7             |          0,0220 us          |
|           450000            |          225000,5           |          0,1008 ms          |            17,8             |          0,0210 us          |
|           500000            |          250000,5           |          0,1113 ms          |            18,0             |          0,0200 us          |
